year,canton,is_66_plus,population,total_population,population_share_66_plus
2024,Schweiz,True,1664608,9051029,0.1839136743457567
2024,Schwyz,True,31354,168931,0.1856024057159432
2024,Solothurn,True,57692,289792,0.1990807199646643
2024,St. Gallen,True,99084,540036,0.1834766571117481
2024,Thurgau,True,54914,299509,0.18334674417129368
2024,Ticino,True,81404,358903,0.22681337297264162
2024,Uri,True,8099,38275,0.21160026126714565
2024,Valais,True,72791,371288,0.19604996660274504
2024,Vaud,True,136280,855106,0.15937205445874547
2024,Zug,True,23103,133739,0.1727469175034956
2024,Zürich,True,266433,1620020,0.164462784410069
